               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  91,               0.026,            0.019182,           0.0032827,             0.83732,             0.72642,              0.7868,             0.45312,            0.031942,            0.014739,            0.013399,            0.008218,            0.008218,            0.008218
                  92,            0.026116,            0.019204,           0.0036806,              0.8399,              0.7217,             0.78346,             0.44469,            0.030786,            0.014594,            0.012522,           0.0081982,           0.0081982,           0.0081982
                  93,            0.026045,            0.019258,           0.0034233,             0.84291,             0.72188,             0.77329,               0.426,            0.031925,            0.013412,            0.015886,           0.0081784,           0.0081784,           0.0081784
                  94,            0.025535,            0.019077,           0.0033284,             0.80462,             0.67925,             0.72409,             0.40028,             0.03289,            0.014649,            0.015512,           0.0081586,           0.0081586,           0.0081586
                  95,            0.025839,            0.018954,           0.0033659,             0.85317,              0.6838,                0.75,             0.42876,            0.031734,            0.013612,            0.016042,           0.0081388,           0.0081388,           0.0081388
                  96,            0.025694,            0.019331,           0.0038047,             0.85676,             0.72769,             0.78522,             0.44116,            0.031774,            0.013948,            0.013648,            0.008119,            0.008119,            0.008119
                  97,            0.025825,            0.019277,           0.0039717,             0.83361,             0.71499,             0.76121,             0.43153,             0.03189,            0.013427,            0.017335,           0.0080992,           0.0080992,           0.0080992
                  98,             0.02588,             0.01941,           0.0034347,             0.82708,             0.72406,             0.77228,             0.44048,            0.030807,            0.014089,            0.009634,           0.0080794,           0.0080794,           0.0080794
                  99,             0.02549,            0.019186,           0.0029654,             0.81887,             0.73349,             0.77716,             0.43889,            0.031579,             0.01429,            0.011678,           0.0080596,           0.0080596,           0.0080596
                 100,            0.025522,            0.018375,           0.0033501,             0.87476,             0.71361,              0.7812,             0.43887,            0.032097,            0.014737,           0.0095438,           0.0080398,           0.0080398,           0.0080398
                 101,            0.025541,            0.019166,           0.0033155,             0.88199,             0.70883,             0.77723,             0.43316,            0.030419,            0.015115,            0.012339,             0.00802,             0.00802,             0.00802
                 102,            0.025262,            0.018739,           0.0035835,              0.8828,             0.71152,             0.76062,             0.42897,            0.032661,            0.014187,            0.011999,           0.0080002,           0.0080002,           0.0080002
                 103,            0.025336,            0.018829,           0.0035182,             0.82355,             0.70047,             0.75487,             0.43576,            0.031536,            0.014283,             0.01498,           0.0079804,           0.0079804,           0.0079804
                 104,            0.025385,            0.018691,           0.0032571,             0.85434,             0.68632,             0.75497,             0.43097,            0.032997,            0.014147,            0.015961,           0.0079606,           0.0079606,           0.0079606
                 105,            0.025114,            0.018626,            0.003112,             0.82507,             0.70991,             0.75512,             0.43068,            0.031539,            0.014385,            0.012137,           0.0079408,           0.0079408,           0.0079408
                 106,            0.025486,            0.018891,           0.0033988,             0.86904,             0.69952,             0.77031,             0.43325,            0.032667,            0.014958,            0.012561,            0.007921,            0.007921,            0.007921
